vid,window_start_frame,window_end_frame,cam,narration_start_frame,narration_end_frame,narration_id,narration,duration
georgiatech_cooking_11_01_4,35809,36709,04,36103,36181,georgiatech_cooking_11_01_4_ks_85,Place the chopping board on the kitchen table,2.6
georgiatech_cooking_04_01_2,23602,24502,04,24311,24371,georgiatech_cooking_04_01_2_ks_22,Get a bottle of oil from the kitchen counter,2.0
georgiatech_bike_01_10,2141,3041,04,2328,2384,georgiatech_bike_01_10_ks_2,Get a tire lever on the ground,1.8666666666666667
fair_cooking_07_2,28325,29225,04,29012,29041,fair_cooking_07_2_ks_20,get the peanuts bowl from the countertop,0.9666666666666667
fair_bike_09_2,3671,4571,04,4147,4171,fair_bike_09_2_ks_12,Loosen the valve cap from the new tube with hand,0.8
georgiatech_cooking_10_02_4,6075,6975,03,6390,6459,georgiatech_cooking_10_02_4_ks_10,Get garlic cloves from the countertop,2.3
georgiatech_cooking_01_01_2,9734,10634,04,9986,10059,georgiatech_cooking_01_01_2_ks_32,Get bowl from the countertop,2.433333333333333
georgiatech_cooking_10_02_4,765,1665,05,826,886,georgiatech_cooking_10_02_4_ks_1,Place the pot on the stove,2.0
fair_bike_01_3,6930,7830,04,7708,7746,fair_bike_01_3_ks_12,Get a tire lever,1.2666666666666666
georgiatech_bike_19_6,16,916,04,67,128,georgiatech_bike_19_6_ks_0,Get the degreaser from the table,2.033333333333333
fair_cooking_06_2,3977,4877,04,4056,4081,fair_cooking_06_2_ks_7,Get a garlic from the chopping board,0.8333333333333334
georgiatech_bike_18_12,1272,2172,05,1460,1513,georgiatech_bike_18_12_ks_3,Get a cloth from the table,1.7666666666666666
fair_cooking_08_4,6520,7420,01,6680,6707,fair_cooking_08_4_ks_16,Pick bell pepper from the tray on the countertop,0.9
georgiatech_cooking_04_01_2,19562,20462,03,19912,19979,georgiatech_cooking_04_01_2_ks_18,Check the recipe on the kitchen counter,2.2333333333333334
georgiatech_cooking_14_01_6,4468,5368,05,4958,5002,georgiatech_cooking_14_01_6_ks_62,Get a fork from the countertop,1.4666666666666666
georgiatech_cooking_11_01_4,14626,15526,04,15243,15294,georgiatech_cooking_11_01_4_ks_41,Check the recipe instruction,1.7
georgiatech_bike_09_4,1113,2013,01,1734,1804,georgiatech_bike_09_4_ks_4,Pull back and lift the bead out of the rim,2.3333333333333335
georgiatech_cooking_10_02_4,19921,20821,05,20137,20204,georgiatech_cooking_10_02_4_ks_40,Place the skillet on the stove,2.2333333333333334
georgiatech_bike_09_8,614,1514,04,1008,1056,georgiatech_bike_09_8_ks_0,Pick a wrench from a work table.,1.6
fair_bike_10_4,3901,4801,02,4311,4397,fair_bike_10_4_ks_9,Engage the valve stem into the rim of the wheel.,2.8666666666666667
fair_bike_09_10,4087,4987,02,4575,4619,fair_bike_09_10_ks_6,Get a new inner tube from the work bench,1.4666666666666666
cmu_bike02_2,1156,2056,04,1619,1699,cmu_bike02_2_ks_1,Get a deflating needle,2.6666666666666665
georgiatech_cooking_11_01_4,32708,33608,05,33410,33483,georgiatech_cooking_11_01_4_ks_81,Place the sliced onions on the kitchen table,2.433333333333333
georgiatech_cooking_14_01_6,3648,4548,04,4009,4098,georgiatech_cooking_14_01_6_ks_6,Throw out the egg shell into the waste bin,2.966666666666667
georgiatech_bike_09_8,2540,3440,04,2707,2748,georgiatech_bike_09_8_ks_2,Get a mallet from a tool rack.,1.3666666666666667
georgiatech_cooking_11_01_4,2171,3071,04,3007,3036,georgiatech_cooking_11_01_4_ks_6,Check the recipe instruction,0.9666666666666667
fair_bike_07_3,1024,1924,02,1788,1849,fair_bike_07_3_ks_4,Get a new inner tube from the tube box,2.033333333333333
georgiatech_bike_04_4,1533,2433,04,1842,1891,georgiatech_bike_04_4_ks_5,get the new inner tube from the table,1.6333333333333333
georgiatech_cooking_01_01_2,9647,10547,01,9986,10059,georgiatech_cooking_01_01_2_ks_32,Get bowl from the countertop,2.433333333333333
georgiatech_cooking_04_01_2,32488,33388,01,32821,32848,georgiatech_cooking_04_01_2_ks_44,Regulate the heat of the stove,0.9
georgiatech_cooking_01_01_2,11428,12328,02,12016,12073,georgiatech_cooking_01_01_2_ks_39,Get garlic cloves from the countertop,1.9
fair_bike_09_10,4085,4985,01,4575,4619,fair_bike_09_10_ks_6,Get a new inner tube from the work bench,1.4666666666666666
georgiatech_bike_01_6,2423,3323,03,2820,2857,georgiatech_bike_01_6_ks_4,Get a wrench from the table,1.2333333333333334
georgiatech_cooking_04_01_2,24242,25142,01,24311,24371,georgiatech_cooking_04_01_2_ks_22,Get a bottle of oil from the kitchen counter,2.0
cmu_bike18_3,533,1433,04,1119,1152,cmu_bike18_3_ks_2,Insert the tire lever between the outer tire and wheel rim,1.1
georgiatech_cooking_14_01_6,3141,4041,05,3190,3251,georgiatech_cooking_14_01_6_ks_2,Throw out the tomato waste into the waste bin,2.033333333333333
georgiatech_cooking_10_02_4,12826,13726,04,13138,13203,georgiatech_cooking_10_02_4_ks_23,Check paper recipe,2.1666666666666665
fair_cooking_07_2,28635,29535,03,29012,29041,fair_cooking_07_2_ks_20,get the peanuts bowl from the countertop,0.9666666666666667
georgiatech_cooking_01_01_2,9223,10123,02,9986,10059,georgiatech_cooking_01_01_2_ks_32,Get bowl from the countertop,2.433333333333333
georgiatech_cooking_04_01_2,36671,37571,03,36928,37002,georgiatech_cooking_04_01_2_ks_52,Check the recipe on the kitchen counter,2.466666666666667
georgiatech_cooking_11_01_4,35432,36332,05,36103,36181,georgiatech_cooking_11_01_4_ks_85,Place the chopping board on the kitchen table,2.6
georgiatech_cooking_01_01_2,6932,7832,02,7425,7511,georgiatech_cooking_01_01_2_ks_25,Check heat of the skillet,2.8666666666666667
georgiatech_cooking_01_01_2,2552,3452,03,2587,2618,georgiatech_cooking_01_01_2_ks_9,Get fork from the countertop,1.0333333333333334
fair_cooking_08_4,6583,7483,04,6680,6707,fair_cooking_08_4_ks_16,Pick bell pepper from the tray on the countertop,0.9
georgiatech_cooking_10_02_4,25899,26799,04,26594,26683,georgiatech_cooking_10_02_4_ks_57,Adjust the knob of the stove,2.966666666666667
fair_bike_09_4,22,922,04,396,425,fair_bike_09_4_ks_1,Get a tire lever from the table,0.9666666666666667
georgiatech_cooking_14_01_2,20475,21375,05,21152,21187,georgiatech_cooking_14_01_2_ks_74,get a measuring scoop on the counter top,1.1666666666666667
cmu_bike02_2,1564,2464,04,1619,1699,cmu_bike02_2_ks_1,Get a deflating needle,2.6666666666666665
georgiatech_bike_04_4,1391,2291,04,1842,1891,georgiatech_bike_04_4_ks_5,get the new inner tube from the table,1.6333333333333333
georgiatech_cooking_10_02_2,28039,28939,04,28305,28379,georgiatech_cooking_10_02_2_ks_64,Place the skillet on the cooker.,2.466666666666667
georgiatech_cooking_10_02_4,22402,23302,05,22736,22808,georgiatech_cooking_10_02_4_ks_47,Turn off the stove,2.4
fair_cooking_06_6,8453,9353,02,8525,8570,fair_cooking_06_6_ks_40,Get olive oil from the counter top,1.5
fair_cooking_06_6,4433,5333,04,4789,4870,fair_cooking_06_6_ks_19,Heat the skillet on the stove,2.7
georgiatech_bike_04_6,69,969,04,293,380,georgiatech_bike_04_6_ks_1,Get an appropriate wrench from a shelf,2.9
georgiatech_cooking_14_01_2,18602,19502,03,19395,19466,georgiatech_cooking_14_01_2_ks_68,check the paper recipe on the counter top,2.3666666666666667
georgiatech_cooking_01_01_2,6899,7799,03,7425,7511,georgiatech_cooking_01_01_2_ks_25,Check heat of the skillet,2.8666666666666667
georgiatech_cooking_04_01_2,23787,24687,01,24311,24371,georgiatech_cooking_04_01_2_ks_22,Get a bottle of oil from the kitchen counter,2.0
georgiatech_cooking_09_02_2,34764,35664,05,35043,35097,georgiatech_cooking_09_02_2_ks_100,Calibrate the stove to regulate the heat,1.8
georgiatech_cooking_11_01_4,38193,39093,04,38343,38402,georgiatech_cooking_11_01_4_ks_95,Get measuring spoon from the kitchen table,1.9666666666666666
georgiatech_bike_18_6,125,1025,01,271,350,georgiatech_bike_18_6_ks_1,Get the chain lube from the table,2.6333333333333333
georgiatech_cooking_01_02_2,30352,31252,04,30556,30622,georgiatech_cooking_01_02_2_ks_64,Turn off the gas cooker.,2.2
georgiatech_cooking_10_02_2,27806,28706,03,28305,28379,georgiatech_cooking_10_02_2_ks_64,Place the skillet on the cooker.,2.466666666666667
fair_cooking_07_2,2154,3054,04,2325,2383,fair_cooking_07_2_ks_4,get the carrot from the tray,1.9333333333333333
fair_bike_02_12,3612,4512,03,4364,4394,fair_bike_02_12_ks_16,Get hexagon socket from the table,1.0
georgiatech_cooking_09_02_2,25289,26189,01,25567,25620,georgiatech_cooking_09_02_2_ks_68,Get chopped garlic from the chopping board,1.7666666666666666
georgiatech_cooking_10_02_4,6233,7133,01,6390,6459,georgiatech_cooking_10_02_4_ks_10,Get garlic cloves from the countertop,2.3
georgiatech_cooking_04_02_2,33504,34404,03,34126,34197,georgiatech_cooking_04_02_2_ks_39,Check heat of the skillet,2.3666666666666667
georgiatech_cooking_10_02_2,3154,4054,04,3630,3689,georgiatech_cooking_10_02_2_ks_11,Get olive oil from a counter top.,1.9666666666666666
georgiatech_cooking_10_02_2,10452,11352,03,10682,10752,georgiatech_cooking_10_02_2_ks_24,Lift the lid of the pot,2.3333333333333335
fair_bike_01_16,2444,3344,03,2684,2745,fair_bike_01_16_ks_5,Place the wrench on the table,2.033333333333333
georgiatech_cooking_10_02_2,33932,34832,01,34175,34263,georgiatech_cooking_10_02_2_ks_84,Regulate the heat of the cooker.,2.933333333333333
fair_bike_02_7,8776,9676,02,8862,8913,fair_bike_02_7_ks_7,Get an inner tube from the carton on the table,1.7
georgiatech_bike_09_8,4500,5400,01,5243,5322,georgiatech_bike_09_8_ks_4,Pick a wrench from the work table.,2.6333333333333333
fair_cooking_06_6,476,1376,01,811,860,fair_cooking_06_6_ks_4,Add noodles into a pot of boiling water,1.6333333333333333
georgiatech_cooking_14_01_6,4296,5196,04,4958,5002,georgiatech_cooking_14_01_6_ks_62,Get a fork from the countertop,1.4666666666666666
georgiatech_cooking_10_02_2,20424,21324,03,20555,20641,georgiatech_cooking_10_02_2_ks_51,Get garlic clove from the counter top.,2.8666666666666667
georgiatech_cooking_09_02_2,2510,3410,03,3021,3098,georgiatech_cooking_09_02_2_ks_12,Dispose a tomato slice into a waste bag,2.566666666666667
georgiatech_cooking_04_01_2,29793,30693,01,29878,29928,georgiatech_cooking_04_01_2_ks_35,Regulate the heat of the stove,1.6666666666666667
georgiatech_cooking_11_01_4,28727,29627,01,29253,29338,georgiatech_cooking_11_01_4_ks_72,Place the chopping board on the kitchen table,2.8333333333333335
georgiatech_cooking_10_02_2,28007,28907,01,28305,28379,georgiatech_cooking_10_02_2_ks_64,Place the skillet on the cooker.,2.466666666666667
fair_bike_07_3,1316,2216,03,1788,1849,fair_bike_07_3_ks_4,Get a new inner tube from the tube box,2.033333333333333
georgiatech_cooking_09_02_2,8403,9303,05,9118,9181,georgiatech_cooking_09_02_2_ks_8,Get a bowl from the kitchen island,2.1
fair_bike_07_16,669,1569,02,1157,1187,fair_bike_07_16_ks_2,Rotate the pedal,1.0
georgiatech_bike_09_8,4509,5409,01,5243,5322,georgiatech_bike_09_8_ks_4,Pick a wrench from the work table.,2.6333333333333333
georgiatech_cooking_11_01_4,17713,18613,03,18190,18251,georgiatech_cooking_11_01_4_ks_47,Get bell pepper from the kitchen table,2.033333333333333
fair_cooking_07_2,1885,2785,03,2325,2383,fair_cooking_07_2_ks_4,get the carrot from the tray,1.9333333333333333
georgiatech_cooking_09_02_2,10733,11633,03,10879,10941,georgiatech_cooking_09_02_2_ks_28,Add water to a bowl,2.066666666666667
georgiatech_cooking_09_02_2,13502,14402,03,13831,13878,georgiatech_cooking_09_02_2_ks_36,Read the paper recipe,1.5666666666666667
georgiatech_cooking_10_02_2,20069,20969,01,20555,20641,georgiatech_cooking_10_02_2_ks_51,Get garlic clove from the counter top.,2.8666666666666667
fair_bike_09_8,4690,5590,01,4891,4941,fair_bike_09_8_ks_10,Get a new tube from the table.,1.6666666666666667
georgiatech_cooking_11_01_4,6249,7149,05,6547,6629,georgiatech_cooking_11_01_4_ks_19,Get a knife from the kitchen drawer,2.7333333333333334
georgiatech_cooking_09_02_2,26475,27375,05,27151,27231,georgiatech_cooking_09_02_2_ks_75,Wipe hands with a paper towel,2.6666666666666665
fair_bike_09_2,3472,4372,02,4147,4171,fair_bike_09_2_ks_12,Loosen the valve cap from the new tube with hand,0.8
georgiatech_cooking_10_02_4,10322,11222,04,10574,10645,georgiatech_cooking_10_02_4_ks_13,Wash hands in the sink with the water from the faucet,2.3666666666666667
georgiatech_cooking_14_01_2,4893,5793,03,5309,5347,georgiatech_cooking_14_01_2_ks_10,place the used tissue paper on the counter top,1.2666666666666666
georgiatech_cooking_01_02_2,30518,31418,02,30556,30622,georgiatech_cooking_01_02_2_ks_64,Turn off the gas cooker.,2.2
georgiatech_cooking_01_02_2,38061,38961,04,38421,38460,georgiatech_cooking_01_02_2_ks_88,Turn the stove knob to regulate the heat.,1.3
fair_bike_09_2,3700,4600,01,4147,4171,fair_bike_09_2_ks_12,Loosen the valve cap from the new tube with hand,0.8
georgiatech_cooking_10_02_2,23711,24611,04,23853,23903,georgiatech_cooking_10_02_2_ks_54,Wash hands with water.,1.6666666666666667
georgiatech_cooking_11_01_4,37838,38738,05,38343,38402,georgiatech_cooking_11_01_4_ks_95,Get measuring spoon from the kitchen table,1.9666666666666666
georgiatech_cooking_11_01_4,38786,39686,05,39279,39314,georgiatech_cooking_11_01_4_ks_96,Get salt container from the kitchen table,1.1666666666666667
georgiatech_cooking_01_01_2,3464,4364,04,4033,4113,georgiatech_cooking_01_01_2_ks_12,Get scoop from the countertop,2.6666666666666665
georgiatech_cooking_09_02_2,17698,18598,01,18421,18472,georgiatech_cooking_09_02_2_ks_50,Get the bowl from the kitchen island,1.7
georgiatech_cooking_11_01_4,26097,26997,03,26116,26190,georgiatech_cooking_11_01_4_ks_69,Check the recipe instruction,2.466666666666667
fair_cooking_08_4,4509,5409,01,5062,5094,fair_cooking_08_4_ks_12,Pick celery from the tray,1.0666666666666667
georgiatech_cooking_09_02_2,25314,26214,03,25567,25620,georgiatech_cooking_09_02_2_ks_68,Get chopped garlic from the chopping board,1.7666666666666666
fair_bike_09_4,4057,4957,03,4170,4258,fair_bike_09_4_ks_8,Get a new inner tube from the table,2.933333333333333
georgiatech_bike_18_4,189,1089,03,386,445,georgiatech_bike_18_4_ks_3,Move the bicycle pedal.,1.9666666666666666
georgiatech_cooking_09_02_2,26107,27007,03,26262,26325,georgiatech_cooking_09_02_2_ks_72,Calibrate the stove to regulate the heat,2.1
fair_cooking_06_6,307,1207,01,811,860,fair_cooking_06_6_ks_4,Add noodles into a pot of boiling water,1.6333333333333333
georgiatech_cooking_10_02_4,22646,23546,05,22736,22808,georgiatech_cooking_10_02_4_ks_47,Turn off the stove,2.4
georgiatech_cooking_10_02_2,43,943,01,44,110,georgiatech_cooking_10_02_2_ks_0,Lift the lid of a pot.,2.2
fair_cooking_08_4,2350,3250,04,2642,2694,fair_cooking_08_4_ks_0,Pick a bell pepper from a stainless steel bowl,1.7333333333333334
georgiatech_cooking_11_01_4,33365,34265,03,33410,33483,georgiatech_cooking_11_01_4_ks_81,Place the sliced onions on the kitchen table,2.433333333333333
georgiatech_cooking_01_01_2,9181,10081,01,9986,10059,georgiatech_cooking_01_01_2_ks_32,Get bowl from the countertop,2.433333333333333
fair_cooking_06_6,6608,7508,01,6635,6696,fair_cooking_06_6_ks_27,Regulate the heat of the skillet on the stove,2.033333333333333
georgiatech_cooking_11_01_4,5569,6469,05,6164,6200,georgiatech_cooking_11_01_4_ks_17,Place the rice vinegar container on the kitchen table,1.2
georgiatech_bike_18_4,62,962,04,386,445,georgiatech_bike_18_4_ks_3,Move the bicycle pedal.,1.9666666666666666
fair_bike_09_2,3634,4534,02,4147,4171,fair_bike_09_2_ks_12,Loosen the valve cap from the new tube with hand,0.8
fair_cooking_06_6,4063,4963,01,4789,4870,fair_cooking_06_6_ks_19,Heat the skillet on the stove,2.7
georgiatech_cooking_10_02_4,22610,23510,05,22736,22808,georgiatech_cooking_10_02_4_ks_47,Turn off the stove,2.4
georgiatech_cooking_11_01_4,33095,33995,01,33410,33483,georgiatech_cooking_11_01_4_ks_81,Place the sliced onions on the kitchen table,2.433333333333333
georgiatech_cooking_09_02_2,9105,10005,01,9118,9181,georgiatech_cooking_09_02_2_ks_8,Get a bowl from the kitchen island,2.1
georgiatech_bike_19_6,2507,3407,01,2793,2841,georgiatech_bike_19_6_ks_7,Get a cloth from the table,1.6
georgiatech_cooking_11_01_4,2201,3101,03,3007,3036,georgiatech_cooking_11_01_4_ks_6,Check the recipe instruction,0.9666666666666667
georgiatech_cooking_04_01_2,47349,48249,04,47594,47638,georgiatech_cooking_04_01_2_ks_73,Regulate the heat of the stove,1.4666666666666666
georgiatech_cooking_09_02_2,13807,14707,05,13831,13878,georgiatech_cooking_09_02_2_ks_36,Read the paper recipe,1.5666666666666667
fair_bike_01_11,250,1150,01,440,499,fair_bike_01_11_ks_1,Briefly check for any damage in the tube.,1.9666666666666666
fair_bike_02_12,4360,5260,01,4364,4394,fair_bike_02_12_ks_16,Get hexagon socket from the table,1.0
georgiatech_cooking_10_02_2,20517,21417,04,20555,20641,georgiatech_cooking_10_02_2_ks_51,Get garlic clove from the counter top.,2.8666666666666667
georgiatech_cooking_10_02_4,13098,13998,04,13138,13203,georgiatech_cooking_10_02_4_ks_23,Check paper recipe,2.1666666666666665
georgiatech_cooking_10_02_2,12545,13445,04,13251,13302,georgiatech_cooking_10_02_2_ks_35,Return the napkin to the cooker.,1.7
cmu_bike02_2,1023,1923,02,1619,1699,cmu_bike02_2_ks_1,Get a deflating needle,2.6666666666666665
georgiatech_bike_01_10,2033,2933,02,2328,2384,georgiatech_bike_01_10_ks_2,Get a tire lever on the ground,1.8666666666666667
fair_bike_07_19,1657,2557,02,2482,2533,fair_bike_07_19_ks_5,pick a new tube from the carton,1.7
fair_bike_01_16,52,952,01,57,134,fair_bike_01_16_ks_0,Get a wrench from the table,2.566666666666667
fair_bike_07_4,1213,2113,04,1895,1936,fair_bike_07_4_ks_4,Press the brake lever,1.3666666666666667
georgiatech_cooking_09_02_2,34340,35240,05,35043,35097,georgiatech_cooking_09_02_2_ks_100,Calibrate the stove to regulate the heat,1.8
georgiatech_cooking_10_02_2,6649,7549,04,6953,7032,georgiatech_cooking_10_02_2_ks_16,Wash your hands with water.,2.6333333333333333
georgiatech_cooking_10_02_2,8421,9321,01,8773,8835,georgiatech_cooking_10_02_2_ks_18,Return the honey.,2.066666666666667
georgiatech_cooking_10_02_2,30840,31740,03,31163,31227,georgiatech_cooking_10_02_2_ks_77,Check heat of the skillet.,2.1333333333333333
georgiatech_cooking_14_01_6,3141,4041,03,3190,3251,georgiatech_cooking_14_01_6_ks_2,Throw out the tomato waste into the waste bin,2.033333333333333
georgiatech_cooking_10_02_2,555,1455,01,1356,1428,georgiatech_cooking_10_02_2_ks_5,Check the paper recipe.,2.4
georgiatech_cooking_11_01_4,25978,26878,04,26116,26190,georgiatech_cooking_11_01_4_ks_69,Check the recipe instruction,2.466666666666667
fair_bike_09_8,4565,5465,01,4891,4941,fair_bike_09_8_ks_10,Get a new tube from the table.,1.6666666666666667
georgiatech_cooking_09_02_2,3873,4773,05,4524,4612,georgiatech_cooking_09_02_2_ks_16,Dispose a tomato slice into the waste bag,2.933333333333333
fair_bike_01_3,7487,8387,03,7708,7746,fair_bike_01_3_ks_12,Get a tire lever,1.2666666666666666
georgiatech_cooking_11_01_4,38876,39776,04,39279,39314,georgiatech_cooking_11_01_4_ks_96,Get salt container from the kitchen table,1.1666666666666667
georgiatech_cooking_10_02_4,19336,20236,04,20137,20204,georgiatech_cooking_10_02_4_ks_40,Place the skillet on the stove,2.2333333333333334
georgiatech_cooking_11_01_4,17357,18257,03,18190,18251,georgiatech_cooking_11_01_4_ks_47,Get bell pepper from the kitchen table,2.033333333333333
georgiatech_cooking_01_02_2,17840,18740,01,17937,18019,georgiatech_cooking_01_02_2_ks_43,Get tomato sauce from the table.,2.7333333333333334
fair_bike_01_8,694,1594,03,1281,1341,fair_bike_01_8_ks_6,Tighten the left axle nut with left hand.,2.0
georgiatech_cooking_14_01_2,8711,9611,03,9396,9450,georgiatech_cooking_14_01_2_ks_28,place the skillet on the stove,1.8
georgiatech_cooking_14_01_2,8655,9555,05,9396,9450,georgiatech_cooking_14_01_2_ks_28,place the skillet on the stove,1.8
georgiatech_cooking_04_01_2,38523,39423,03,38973,39025,georgiatech_cooking_04_01_2_ks_56,Regulate the heat of the stove,1.7333333333333334
fair_cooking_06_6,7059,7959,03,7827,7867,fair_cooking_06_6_ks_36,Regulate the heat of the pot on the stove,1.3333333333333333
georgiatech_bike_09_8,2588,3488,05,2707,2748,georgiatech_bike_09_8_ks_2,Get a mallet from a tool rack.,1.3666666666666667
georgiatech_cooking_04_01_2,35760,36660,01,36440,36472,georgiatech_cooking_04_01_2_ks_48,Regulate the heat of the stove,1.0666666666666667
georgiatech_cooking_09_02_2,25274,26174,04,25567,25620,georgiatech_cooking_09_02_2_ks_68,Get chopped garlic from the chopping board,1.7666666666666666
georgiatech_bike_04_4,1504,2404,04,1842,1891,georgiatech_bike_04_4_ks_5,get the new inner tube from the table,1.6333333333333333
georgiatech_cooking_09_02_2,34538,35438,05,35043,35097,georgiatech_cooking_09_02_2_ks_100,Calibrate the stove to regulate the heat,1.8
georgiatech_bike_05_9,1620,2520,03,2272,2328,georgiatech_bike_05_9_ks_4,Get a tire lever from the table,1.8666666666666667
georgiatech_cooking_04_01_2,45733,46633,01,46196,46224,georgiatech_cooking_04_01_2_ks_69,Regulate the heat of the stove,0.9333333333333333
georgiatech_cooking_09_02_2,25116,26016,04,25567,25620,georgiatech_cooking_09_02_2_ks_68,Get chopped garlic from the chopping board,1.7666666666666666
fair_bike_10_10,4529,5429,02,4999,5049,fair_bike_10_10_ks_6,Get a new inner tube from the work bench,1.6666666666666667
georgiatech_cooking_09_02_2,27023,27923,03,27151,27231,georgiatech_cooking_09_02_2_ks_75,Wipe hands with a paper towel,2.6666666666666665
georgiatech_cooking_04_01_2,25893,26793,01,26403,26446,georgiatech_cooking_04_01_2_ks_29,Regulate the heat of the stove,1.4333333333333333
fair_bike_02_7,8015,8915,02,8862,8913,fair_bike_02_7_ks_7,Get an inner tube from the carton on the table,1.7
fair_bike_09_4,4167,5067,02,4170,4258,fair_bike_09_4_ks_8,Get a new inner tube from the table,2.933333333333333
georgiatech_cooking_04_02_2,33351,34251,01,34126,34197,georgiatech_cooking_04_02_2_ks_39,Check heat of the skillet,2.3666666666666667
georgiatech_cooking_01_02_2,17371,18271,04,17937,18019,georgiatech_cooking_01_02_2_ks_43,Get tomato sauce from the table.,2.7333333333333334
georgiatech_cooking_14_01_2,25087,25987,04,25855,25896,georgiatech_cooking_14_01_2_ks_88,regulate the stove knob,1.3666666666666667
georgiatech_bike_01_10,2182,3082,01,2328,2384,georgiatech_bike_01_10_ks_2,Get a tire lever on the ground,1.8666666666666667
georgiatech_cooking_11_01_4,3002,3902,01,3007,3036,georgiatech_cooking_11_01_4_ks_6,Check the recipe instruction,0.9666666666666667
georgiatech_cooking_11_01_4,17943,18843,04,18190,18251,georgiatech_cooking_11_01_4_ks_47,Get bell pepper from the kitchen table,2.033333333333333
georgiatech_cooking_09_02_2,26521,27421,01,27151,27231,georgiatech_cooking_09_02_2_ks_75,Wipe hands with a paper towel,2.6666666666666665
fair_cooking_07_2,1860,2760,01,2325,2383,fair_cooking_07_2_ks_4,get the carrot from the tray,1.9333333333333333
georgiatech_cooking_04_01_2,8370,9270,02,9033,9087,georgiatech_cooking_04_01_2_ks_3,Check the recipe on the kitchen counter,1.8
fair_bike_06_12,2036,2936,04,2251,2337,fair_bike_06_12_ks_4,Rotate the pedal of the bike,2.8666666666666667
georgiatech_cooking_04_01_2,29479,30379,01,29878,29928,georgiatech_cooking_04_01_2_ks_35,Regulate the heat of the stove,1.6666666666666667
fair_cooking_08_4,6446,7346,01,6680,6707,fair_cooking_08_4_ks_16,Pick bell pepper from the tray on the countertop,0.9
georgiatech_cooking_09_02_2,25531,26431,05,25567,25620,georgiatech_cooking_09_02_2_ks_68,Get chopped garlic from the chopping board,1.7666666666666666
georgiatech_cooking_01_02_2,30246,31146,01,30556,30622,georgiatech_cooking_01_02_2_ks_64,Turn off the gas cooker.,2.2
fair_cooking_08_4,4558,5458,02,5062,5094,fair_cooking_08_4_ks_12,Pick celery from the tray,1.0666666666666667
georgiatech_bike_08_4,1931,2831,01,1979,2041,georgiatech_bike_08_4_ks_3,Get a new inner tube from the table,2.066666666666667
fair_cooking_07_2,2213,3113,04,2325,2383,fair_cooking_07_2_ks_4,get the carrot from the tray,1.9333333333333333
georgiatech_cooking_04_01_2,38841,39741,04,38973,39025,georgiatech_cooking_04_01_2_ks_56,Regulate the heat of the stove,1.7333333333333334
georgiatech_cooking_10_02_2,13049,13949,03,13251,13302,georgiatech_cooking_10_02_2_ks_35,Return the napkin to the cooker.,1.7
georgiatech_cooking_01_02_2,14801,15701,04,15057,15107,georgiatech_cooking_01_02_2_ks_33,Read the recipe manual.,1.6666666666666667
georgiatech_cooking_10_02_2,9941,10841,04,10682,10752,georgiatech_cooking_10_02_2_ks_24,Lift the lid of the pot,2.3333333333333335
